
AIRLINE_CODE,AVERAGE_ARRIVAL_DELAY,AVERAGE_CARRIER_DELAY,AVERAGE_WEATHER_DELAY,AVERAGE_NAS_DELAY,AVERAGE_SECURITY_DELAY,AVERAGE_LATE_AIRCRAFT_DELAY
9E,-0.837902,26.436191,6.920584,18.320989,0.043983,24.766234
YX,1.140656,20.442751,4.260621,19.909702,0.078288,23.048915
DL,2.146574,35.397638,3.669182,11.847930,0.113682,18.674914
QX,2.344420,18.625166,2.798096,8.788474,0.164528,20.322607
AS,2.807553,16.480741,2.094899,13.671958,0.373815,17.556663
MQ,3.023157,15.624155,7.731115,15.023852,0.120736,23.158684
OH,3.835640,21.745838,5.621452,12.010930,0.187744,32.232842
OO,5.143740,47.083682,11.200634,3.605911,0.158365,19.289815
UA,6.360699,23.819111,3.677137,14.777927,0.014630,28.142734
HA,6.515033,25.459747,1.598993,1.744446,0.187996,17.684160
WN,6.746238,17.178392,1.107551,7.526336,0.144915,25.346619
YV,9.113826,35.224185,8.544937,12.586263,0.098961,31.375521
AA,9.459300,29.867791,3.986491,11.407264,0.185122,34.385477
NK,11.573001,19.833965,3.098656,25.733920,0.650819,20.016588
F9,15.275500,23.677009,2.026645,15.525979,0.000000,32.327800
B6,16.426462,33.698484,2.353188,13.351329,0.240118,28.921816
G4,17.413120,21.602578,5.302654,14.116212,0.307669,30.403600
