
AIRLINE_CODE,MAX_DELAY,DISTANCE_FOR_MAX_DELAY,MIN_DELAY,DISTANCE_FOR_MIN_DELAY
NK,104.000000,1017,-59.000000,713
AA,235.000000,1956,-39.571429,1215
OO,149.545455,430,-36.000000,1721
DL,92.000000,287,-31.000000,968
YV,57.125000,987,-30.500000,462
UA,123.600000,2173,-30.000000,332
F9,1040.000000,224,-23.818182,144
WN,62.625000,1006,-22.862745,1532
MQ,179.000000,788,-22.312000,1215
YX,291.666667,891,-22.000000,526
AS,27.000000,2065,-21.250000,2034
G4,321.000000,201,-21.000000,123
9E,409.500000,594,-19.000000,749
OH,91.777778,685,-17.166667,599
QX,28.416667,1739,-13.500000,1216
B6,922.000000,2341,-11.875000,407
HA,38.147590,2599,-3.941544,2498
