
ORIGIN,DEST,AVG_DISTANCE,AVG_DELAY,FLIGHT_COUNT
JFK,SFO,2586.000000,-5.721181,16491
LAX,SEA,954.000000,-1.218189,18814
SFO,SEA,679.000000,-0.613554,17014
SFO,JFK,2586.000000,0.072572,16494
PDX,SEA,129.000000,0.339813,19961
ANC,SEA,1448.000000,0.385430,19176
LGA,ATL,762.000000,0.663354,18714
GEG,SEA,224.000000,0.723568,16637
SFO,LAX,337.000000,0.992262,28820
LGA,BOS,184.000000,1.461935,17838
PHX,SEA,1107.000000,1.517088,17088
SEA,SFO,679.000000,1.525554,17003
JFK,LAX,2475.000000,1.696839,24106
BOS,LGA,184.000000,2.030712,17843
SEA,LAX,954.000000,2.261343,18845
BOS,ORD,867.000000,2.282486,15622
DCA,ORD,612.000000,2.316554,14661
PHX,LAX,370.000000,2.363823,17995
DCA,ATL,547.000000,2.472349,16003
LGA,DCA,214.000000,2.518943,15256
LGA,ORD,733.000000,2.573123,25047
SFO,SAN,447.000000,2.621797,14947
BOS,DCA,399.000000,2.812775,23373
SAN,SFO,447.000000,3.117793,14933
SEA,PDX,129.000000,3.211558,19796
TPA,ATL,406.000000,3.220479,16319
LAX,DEN,862.000000,3.241312,18358
LAX,ORD,1744.000000,3.351939,16608
LAX,SFO,337.000000,3.415187,28828
SEA,PHX,1107.000000,3.647455,17056
SEA,GEG,224.000000,3.671057,16629
HNL,KOA,163.000000,3.743433,18350
SAN,SMF,480.000000,3.781006,14594
SEA,ANC,1448.000000,3.788364,19165
LAS,SEA,867.000000,4.027673,16912
ATL,LGA,762.000000,4.061865,18702
SJC,SAN,417.000000,4.254818,14893
KOA,HNL,163.000000,4.317805,18354
ITO,HNL,216.000000,4.332097,14559
SEA,DEN,1024.000000,4.401329,16859
SAN,SJC,417.000000,4.428157,14824
DCA,LGA,214.000000,4.670665,15258
LAX,PHX,370.000000,4.841800,17933
HNL,LIH,102.000000,5.160039,18333
ATL,DCA,547.000000,5.195488,16001
ORD,LAX,1744.000000,5.218246,16628
SMF,SAN,480.000000,5.282431,14531
SEA,LAS,867.000000,5.334183,16877
HNL,ITO,216.000000,5.597513,14557
HNL,OGG,100.000000,5.740997,27463
LAX,JFK,2475.000000,5.773316,24104
DCA,BOS,399.000000,5.796612,23374
LIH,HNL,102.000000,5.818891,18326
EWR,ATL,746.000000,6.139358,15392
ORD,DCA,612.000000,6.201063,14672
ORD,BOS,867.000000,6.232040,15618
ORD,DEN,888.000000,6.503120,17145
OGG,HNL,100.000000,6.869285,27472
DEN,SEA,1024.000000,6.969216,16827
PHX,DEN,602.000000,7.178265,21468
ORD,LGA,733.000000,7.528350,25044
ATL,DFW,731.000000,7.576044,15537
ATL,DEN,1199.000000,7.687373,15197
ORD,ATL,606.000000,8.090259,15533
DFW,ATL,731.000000,8.190611,15529
ATL,ORD,606.000000,8.311317,15534
ATL,TPA,406.000000,8.460778,16279
DFW,LAX,1235.000000,8.506254,16630
BOS,JFK,187.000000,8.608994,14698
LAX,DFW,1235.000000,8.644467,16637
DEN,LAX,862.000000,8.707442,18369
LAX,LAS,236.000000,8.801564,26336
DEN,SLC,391.000000,8.869245,19525
SLC,DEN,391.000000,9.464907,19477
ATL,FLL,581.000000,9.540482,19799
DEN,PHX,602.000000,9.604723,21552
PHX,LAS,255.000000,9.875850,15449
LAS,LAX,236.000000,9.915938,26302
JFK,BOS,187.000000,9.966488,14711
JFK,MIA,1089.000000,10.108096,16254
FLL,ATL,581.000000,10.162024,19744
ATL,EWR,746.000000,10.402585,15398
DEN,ATL,1199.000000,10.449318,15183
LAS,PHX,255.000000,10.567173,15408
LAS,DEN,628.000000,10.908141,20586
ATL,MIA,594.000000,11.042476,18128
MIA,ATL,594.000000,11.092597,18100
DEN,ORD,888.000000,11.107872,17150
DEN,LAS,628.000000,11.286675,20675
MCO,ATL,404.000000,11.724667,21069
ATL,MCO,404.000000,12.034186,21003
DEN,DFW,641.000000,12.089878,14720
DFW,DEN,641.000000,12.756952,14709
PHL,MCO,861.000000,12.812665,14733
EWR,MCO,937.000000,14.857674,17481
DFW,LAS,1055.000000,15.269284,14494
SJU,MCO,1189.000000,15.532858,16541
MIA,JFK,1089.000000,17.073933,16258
MCO,SJU,1189.000000,17.514469,16553
MCO,EWR,937.000000,17.940971,17483
MCO,PHL,861.000000,18.383751,14770
