
ORIGIN,DEST,AVG_DELAY,FLIGHT_COUNT
JFK,SFO,-5.721181,16491
LAX,SEA,-1.218189,18814
SFO,SEA,-0.613554,17014
SFO,JFK,0.072572,16494
PDX,SEA,0.339813,19961
ANC,SEA,0.385430,19176
LGA,ATL,0.663354,18714
GEG,SEA,0.723568,16637
SFO,LAX,0.992262,28820
LGA,BOS,1.461935,17838
PHX,SEA,1.517088,17088
SEA,SFO,1.525554,17003
JFK,LAX,1.696839,24106
BOS,LGA,2.030712,17843
SEA,LAX,2.261343,18845
BOS,ORD,2.282486,15622
DCA,ORD,2.316554,14661
PHX,LAX,2.363823,17995
DCA,ATL,2.472349,16003
LGA,DCA,2.518943,15256
LGA,ORD,2.573123,25047
SFO,SAN,2.621797,14947
BOS,DCA,2.812775,23373
SAN,SFO,3.117793,14933
SEA,PDX,3.211558,19796
TPA,ATL,3.220479,16319
LAX,DEN,3.241312,18358
LAX,ORD,3.351939,16608
LAX,SFO,3.415187,28828
SEA,PHX,3.647455,17056
SEA,GEG,3.671057,16629
HNL,KOA,3.743433,18350
SAN,SMF,3.781006,14594
SEA,ANC,3.788364,19165
LAS,SEA,4.027673,16912
ATL,LGA,4.061865,18702
SJC,SAN,4.254818,14893
KOA,HNL,4.317805,18354
ITO,HNL,4.332097,14559
SEA,DEN,4.401329,16859
SAN,SJC,4.428157,14824
DCA,LGA,4.670665,15258
LAX,PHX,4.841800,17933
HNL,LIH,5.160039,18333
ATL,DCA,5.195488,16001
ORD,LAX,5.218246,16628
SMF,SAN,5.282431,14531
SEA,LAS,5.334183,16877
HNL,ITO,5.597513,14557
HNL,OGG,5.740997,27463
LAX,JFK,5.773316,24104
DCA,BOS,5.796612,23374
LIH,HNL,5.818891,18326
EWR,ATL,6.139358,15392
ORD,DCA,6.201063,14672
ORD,BOS,6.232040,15618
ORD,DEN,6.503120,17145
OGG,HNL,6.869285,27472
DEN,SEA,6.969216,16827
PHX,DEN,7.178265,21468
ORD,LGA,7.528350,25044
ATL,DFW,7.576044,15537
ATL,DEN,7.687373,15197
ORD,ATL,8.090259,15533
DFW,ATL,8.190611,15529
ATL,ORD,8.311317,15534
ATL,TPA,8.460778,16279
DFW,LAX,8.506254,16630
BOS,JFK,8.608994,14698
LAX,DFW,8.644467,16637
DEN,LAX,8.707442,18369
LAX,LAS,8.801564,26336
DEN,SLC,8.869245,19525
SLC,DEN,9.464907,19477
ATL,FLL,9.540482,19799
DEN,PHX,9.604723,21552
PHX,LAS,9.875850,15449
LAS,LAX,9.915938,26302
JFK,BOS,9.966488,14711
JFK,MIA,10.108096,16254
FLL,ATL,10.162024,19744
ATL,EWR,10.402585,15398
DEN,ATL,10.449318,15183
LAS,PHX,10.567173,15408
LAS,DEN,10.908141,20586
ATL,MIA,11.042476,18128
MIA,ATL,11.092597,18100
DEN,ORD,11.107872,17150
DEN,LAS,11.286675,20675
MCO,ATL,11.724667,21069
ATL,MCO,12.034186,21003
DEN,DFW,12.089878,14720
DFW,DEN,12.756952,14709
PHL,MCO,12.812665,14733
EWR,MCO,14.857674,17481
DFW,LAS,15.269284,14494
SJU,MCO,15.532858,16541
MIA,JFK,17.073933,16258
MCO,SJU,17.514469,16553
MCO,EWR,17.940971,17483
MCO,PHL,18.383751,14770
