
AIRLINE_CODE,DESCRIPTION,FL_NO,FL_NO_DEL,FL_DEL_IND,FL_NO_CAN,FL_CAN_IND
WN,Southwest Airlines Co.,3313522,1768705,0.533784,78488,0.023687
B6,JetBlue Airways,664455,300829,0.452745,18407,0.027702
HA,Hawaiian Airlines Inc.,188418,83856,0.445053,1649,0.008752
F9,Frontier Airlines Inc.,404941,175130,0.432483,9605,0.023720
G4,Allegiant Air,313342,133868,0.427226,8614,0.027491
NK,Spirit Air Lines,597555,239529,0.400848,16242,0.027181
UA,United Air Lines Inc.,1559294,604016,0.387365,27232,0.017464
AA,American Airlines Inc.,2240944,826223,0.368694,51229,0.022860
AS,Alaska Airlines Inc.,582296,202766,0.348218,11063,0.018999
DL,Delta Air Lines Inc.,2297713,754920,0.328553,27456,0.011949
YV,Mesa Airlines Inc.,274588,82819,0.301612,8628,0.031422
QX,Horizon Air,200419,57919,0.288990,3608,0.018002
MQ,Envoy Air,652065,178466,0.273694,13196,0.020237
OH,PSA Airlines Inc.,565962,146744,0.259282,11093,0.019600
OO,SkyWest Airlines Inc.,1929858,493905,0.255928,33920,0.017576
YX,Republic Airline,852791,182490,0.213991,27035,0.031702
9E,Endeavor Air Inc.,631781,125181,0.198140,12497,0.019781
